source,target,value
China,Japan ,2000832
Italy,Germany,561897
China,Germany,452142
United States,Japan,356219
United States,Germany,306397
China,Spain,260779
China,United Kingdom,245000
United Kingdom,Spain,226506
France,Germany,221354
Russia,Germany,218891
India,Germany,217355
China,New Zealand,203104
Australia,United Kingdom,193000
India,United Kingdom,178000
United Kingdom,Germany,159026
Brazil,Spain,148612
Italy,Spain,147868
Brazil,Japan,138976
Germany,Netherlands,132682
United States,United Kingdom,125000
Germany,Spain,121739
Japan,Germany,109389
France,Spain,107862
China,Netherlands,104528
United Kingdom,New Zealand,103294
United Kingdom,Japan,99912
Brazil,Germany,93772
United Kingdom,Netherlands,85104
Australia,New Zealand,82719
France,United Kingdom,77000
Germany,Japan,75702
Germany,United Kingdom,74000
United Kingdom,Australia,73043
Russia,Japan,66240
China,Australia,62815
United States,Netherlands,61466
Russia,Spain,60374
France,Japan,58730
United States,Spain,56106
India,New Zealand,54718
Italy,Netherlands,54318
France,Netherlands,52112
India,Japan,51850
Italy,United Kingdom,50000
India,Netherlands,49965
United States,New Zealand,47943
Canada,Germany,47443
China,Italy,46809
Australia,Japan,45268
India,Spain,40308
Canada,Japan,35860
Japan,United Kingdom,35000
Australia,Germany,34344
Italy,Japan,33214
Canada,United Kingdom,31000
Japan,New Zealand,27247
Japan,Netherlands,23013
Germany,Italy,21121
India,Italy,20601
India,Australia,20481
France,New Zealand,20137
Germany,New Zealand,18988
Australia,Netherlands,14812
Canada,Netherlands,14453
Canada,New Zealand,14285
Brazil,United Kingdom,14000
France,Italy,13794
Brazil,Netherlands,13745
Brazil,Italy,12932
United States,Australia,12152
United Kingdom,Italy,11104
Russia,Netherlands,10648
Brazil,New Zealand,10010
United States,Italy,8340
Japan,Spain,7911
Canada,Australia,6028
Italy,New Zealand,5977
Canada,Spain,5359
Japan,Italy,5055
Germany,Australia,4910
Russia,Italy,4562
Italy,Australia,3895
Russia,New Zealand,3707
France,Australia,3573
Australia,Spain,2787
Russia,Australia,1980
Japan,Australia,1609
Brazil,Australia,1592
Australia,Italy,1204
Canada,Italy,1100
