temp,hum,pm003,pm01,pm02,pm10,tvoc
20.03,44.64,-1,-1,-1,-1,0
20.04,44.64,1377,6,11,11,1
17.86,47.17,585,3,4,4,105
19.91,46.67,1267,7,12,12,111
17.89,47.08,831,4,5,5,103
20.07,44.59,1605,8,14,14,128
19.91,46.64,1290,7,12,13,103
17.87,46.99,-1,-1,-1,-1,0
17.87,46.91,528,2,3,3,0
19.93,46.68,-1,-1,-1,-1,0
20.06,44.6,1493,7,14,14,111
19.89,46.63,1077,6,10,10,0
17.87,46.85,655,3,4,4,98
20.09,44.56,1321,6,13,13,104
19.92,46.67,-1,-1,-1,-1,0
20.07,44.51,-1,-1,-1,-1,0
19.91,46.65,1233,6,9,9,2
17.89,46.67,642,2,5,6,100
20.09,44.49,1159,5,11,11,3
19.91,46.57,1138,5,11,11,117
17.89,46.58,606,3,5,5,100
20.1,44.44,-1,-1,-1,-1,0
20.1,44.45,1615,8,15,16,0
19.93,46.59,1189,7,12,12,111
17.92,46.46,602,3,3,3,105
20.13,44.43,1554,7,13,13,127
20.13,44.45,-1,-1,-1,-1,0
20.16,44.41,1554,8,14,15,4
19.92,46.58,1341,8,13,13,102
17.9,46.24,535,3,4,4,101
19.93,46.63,-1,-1,-1,-1,0
19.93,46.62,1259,7,12,14,0
20.17,44.35,1403,7,12,12,124
17.93,46.16,646,3,4,4,102
20.16,44.35,-1,-1,-1,-1,0
20.19,44.36,1431,7,13,13,0
19.96,46.6,1268,7,11,11,112
19.95,46.58,-1,-1,-1,-1,0
17.97,45.94,603,3,4,4,104
19.92,46.57,1298,7,11,11,0
20.2,44.32,1285,6,11,11,124
20.21,44.3,-1,-1,-1,-1,0
20.23,44.29,1177,5,10,10,5
17.95,45.88,519,2,5,5,104
19.93,46.47,1206,7,10,10,114
19.93,46.54,-1,-1,-1,-1,0
19.95,46.56,1180,7,11,11,0
20.26,44.28,1456,7,14,14,126
20.21,44.26,-1,-1,-1,-1,0
17.99,45.74,648,3,4,5,105
17.99,45.64,541,2,3,3,105
20.27,44.19,-1,-1,-1,-1,0
20.28,44.14,1176,7,11,14,0
19.95,46.5,-1,-1,-1,-1,0
18,45.63,494,2,2,2,104
19.93,46.54,1095,5,9,9,0
20.3,44.15,-1,-1,-1,-1,0
18.03,45.53,593,3,4,4,104
19.98,46.48,1168,6,11,11,116
19.96,46.51,-1,-1,-1,-1,0
20.31,44.09,-1,-1,-1,-1,0
19.96,46.46,1284,7,11,11,2
18,45.45,627,2,4,4,104
19.95,46.5,-1,-1,-1,-1,0
18.06,45.28,617,3,4,4,102
19.95,46.46,1517,8,11,12,40
20.37,44.07,-1,-1,-1,-1,0
19.96,46.45,1328,7,13,13,107
18.04,45.13,547,3,3,4,102
19.96,46.42,1098,6,8,8,117
18.07,45.02,510,3,4,4,101
20.41,44,-1,-1,-1,-1,0
19.98,46.39,1134,6,10,10,112
20.41,43.98,1306,8,12,12,0
18.06,45.07,631,3,4,4,107
18.08,44.98,691,3,4,4,106
20.41,43.98,1210,6,12,12,0
19.99,46.34,1022,5,8,8,103
18.13,44.94,637,3,3,3,106
20.42,43.96,1484,7,14,14,113
19.99,46.39,1143,5,10,10,0
18.11,44.97,521,2,3,3,108
20.42,43.96,1388,6,13,13,124
20,46.48,-1,-1,-1,-1,0
20,46.53,1296,5,10,10,0
18.14,44.79,515,2,3,3,114
20.45,43.91,-1,-1,-1,-1,0
19.99,46.55,1361,6,10,10,101
18.14,44.7,772,4,6,6,110
20.02,46.57,1032,4,9,9,113
20.48,43.9,1401,7,12,12,106
18.14,44.63,657,3,4,4,78
20,46.54,-1,-1,-1,-1,0
20,46.55,1344,7,12,12,7
18.14,44.53,662,3,4,5,84
18.18,44.55,574,3,5,5,88
20.04,46.57,1124,5,9,9,114
18.17,44.28,643,3,4,4,74
20.56,43.7,1258,5,10,10,113
20.06,46.59,-1,-1,-1,-1,0
20.05,46.69,1209,5,9,9,1
18.22,44.24,733,3,4,4,86
20.12,47.03,1204,5,11,11,113
18.23,44.13,658,3,4,4,90
20.16,46.95,883,4,8,8,111
20.77,44.97,1392,6,11,11,115
18.26,44.12,756,4,6,6,90
20.18,46.97,1321,6,13,13,108
18.31,44.31,639,3,5,5,489
20.26,46.96,1100,6,9,9,103
20.92,44.53,1230,6,12,12,3
18.31,44.42,713,3,5,5,491
20.39,47.09,-1,-1,-1,-1,0
18.35,44.64,554,2,3,3,496
20.42,47.08,1224,6,11,12,96
21.13,44.65,-1,-1,-1,-1,0
20.48,47.04,-1,-1,-1,-1,0
18.4,44.62,564,2,3,3,496
18.45,44.62,632,3,4,4,496
20.67,47.22,1124,5,11,11,111
18.48,44.53,604,3,4,4,497
20.63,47.87,1293,7,11,11,113
18.54,44.72,683,4,5,5,498
21.39,45.53,-1,-1,-1,-1,0
18.54,44.81,691,3,5,5,498
20.75,47.78,1308,6,9,9,112
20.74,47.94,-1,-1,-1,-1,0
21.46,45.71,1138,5,9,10,123
20.78,47.92,1174,6,9,9,2
20.84,47.76,1158,5,8,8,102
21.53,45.79,1271,5,10,10,115
21.54,45.88,-1,-1,-1,-1,0
21.56,46.04,1353,6,11,11,1
18.64,44.79,710,4,5,5,498
20.95,47.97,1236,5,10,10,108
21.61,46.08,975,3,10,12,104
18.64,44.88,719,3,4,4,497
21.01,47.92,1373,7,12,12,110
21.02,47.89,1382,6,11,11,109
21.61,46.38,1406,7,14,14,114
18.68,44.8,750,3,6,6,497
21.64,46.36,1126,5,9,9,5
18.72,44.68,660,4,5,5,497
21.13,48.09,1210,6,9,9,107
18.74,44.74,877,4,5,5,497
21.19,48.41,1369,7,10,10,0
18.75,44.74,470,2,3,3,497
18.78,44.51,735,3,5,5,497
18.79,44.47,691,3,5,5,497
21.4,48.35,1070,5,8,8,109
18.82,44.4,757,3,4,4,496
21.43,48.41,1133,5,8,8,109
21.83,46.73,1400,7,13,13,0
18.81,44.5,728,4,5,5,496
18.83,44.47,742,3,4,5,496
21.54,48.13,-1,-1,-1,-1,0
21.87,47.07,1209,5,10,10,113
21.57,48.15,1295,7,10,11,0
18.86,44.51,753,4,5,5,496
18.86,44.54,689,3,5,6,496
21.89,47.14,-1,-1,-1,-1,0
21.7,48.21,1356,7,10,10,228
18.89,44.52,834,4,6,6,496
21.91,47.04,1352,7,11,11,0
18.91,44.4,795,4,6,6,496
21.85,48.22,1234,5,9,9,96
18.96,44.48,917,4,6,6,496
21.95,46.85,1363,6,11,12,115
21.87,48.27,-1,-1,-1,-1,0
21.97,46.43,1456,6,13,14,109
